<Country = United Kingdom> 	 Country 	 auto
<PERCENTILE(populationDensityKm)> 	 Population 	 auto
<PERCENTILE(populationDensityRank)> 	 Population 	 auto
<PERCENTILE(populationDensitySqMi)> 	 Population 	 auto
<PERCENTILE(populationEstimate)> 	 Population 	 auto
<PERCENTILE(populationEstimateRank)> 	 Population 	 auto
<PERCENTILE(populationTotal)> 	 Population 	 auto
<PERCENTILE(populationTotalRanking)> 	 Population 	 auto
<MODE(countryOlympic.MODE(medals_won.Event)) = + 79.38KG (Heavyweight)> 	 Event 	 auto
<MODE(countryOlympic.MODE(medals_won.Event)) = 110M Hurdles> 	 Event 	 auto
<MODE(countryOlympic.MODE(medals_won.Event)) = 10000M> 	 Event 	 auto
<MODE(countryOlympic.MODE(medals_won.Event)) = épée Individual> 	 Event 	 auto
<MODE(countryOlympic.MODE(medals_won.Event)) = Horizontal Bar> 	 Event 	 auto
<MODE(countryOlympic.MODE(medals_won.Event)) = 1500M Freestyle> 	 Event 	 auto
<MODE(countryOlympic.MODE(medals_won.Event)) = 100M> 	 Event 	 auto
<MODE(countryOlympic.MODE(medals_won.Event)) = 51 - 54KG (Bantamweight)> 	 Event 	 auto
<MODE(countryOlympic.MODE(medals_won.Event)) = 1500M> 	 Event 	 auto
<MODE(countryOlympic.MODE(medals_won.Event)) = - 56KG Total (Bantamweight)>" 	 Event 	 auto
<COUNT(countries_at_plympicgames WHERE medals_won.Medal = Gold)> 	 humanMedal 	 human&auto
<COUNT(countries_at_plympicgames WHERE medals_won.Medal = Silver)> 	 humanMedal 	 human&auto
<COUNT(countries_at_plympicgames WHERE medals_won.Medal = Bronze)> 	 humanMedal 	 human&auto
<MODE(countryOlympic.olympic_games.City) = London> 	 City 	 auto
<MODE(countryOlympic.olympic_games.City) = Athens> 	 City 	 auto
<MODE(countryOlympic.olympic_games.City) = Amsterdam> 	 City 	 auto
<MODE(countryOlympic.olympic_games.City) = Paris> 	 City 	 auto
<MODE(countryOlympic.olympic_games.City) = Atlanta> 	 City 	 auto
<MODE(countryOlympic.olympic_games.City) = Los Angeles> 	 City 	 auto
<MODE(countryOlympic.olympic_games.City) = Antwerp> 	 City 	 auto
<MODE(countryOlympic.olympic_games.City) = Helsinki> 	 City 	 auto
<MODE(countryOlympic.olympic_games.City) = Barcelona> 	 City 	 auto
<MODE(countryOlympic.olympic_games.City) = Berlin> 	 City 	 auto
<SUM(countryOlympic.NUM_UNIQUE(medals_won.Event))> 	 Event 	 auto
<SUM(countryOlympic.NUM_UNIQUE(medals_won.Medal))> 	 Medal 	 human&auto
<MODE(medals_won.countryOlympic.Country) = GBR> 	 Country 	 auto
<MODE(medals_won.countryOlympic.Country) = USA> 	 Country 	 auto
<MODE(medals_won.countryOlympic.Country) = FRA> 	 Country 	 auto
<MODE(medals_won.countryOlympic.Country) = DEN> 	 Country 	 auto
<MODE(medals_won.countryOlympic.Country) = SWE> 	 Country 	 auto
<MODE(medals_won.countryOlympic.Country) = ITA> 	 Country 	 auto
<MODE(medals_won.countryOlympic.Country) = HUN> 	 Country 	 auto
<MODE(medals_won.countryOlympic.Country) = CAN> 	 Country 	 auto
<MODE(medals_won.countryOlympic.Country) = SUI> 	 Country 	 auto
<MODE(medals_won.countryOlympic.Country) = NED> 	 Country 	 auto
<PERCENTILE(COUNT(medals_won))> 	 Medal 	 auto
<COUNT(countryOlympic WHERE olympic_games.City = Paris)> 	 City 	 auto
<COUNT(countryOlympic WHERE olympic_games.City = Athens)> 	 City 	 auto
<COUNT(countryOlympic WHERE olympic_games.City = London)> 	 City 	 auto
<COUNT(countryOlympic WHERE olympic_games.City = Los Angeles)> 	 City 	 auto
<COUNT(countryOlympic WHERE olympic_games.City = Mexico)> 	 City 	 auto
<COUNT(medals_won WHERE countryOlympic.Olympic = Sydney 2000-06-30)> 	 Olympic 	 auto
<COUNT(medals_won WHERE countryOlympic.Olympic = Athens 2004-06-30)> 	 Olympic 	 auto
<COUNT(medals_won WHERE countryOlympic.Olympic = Rio de Janeiro 2016-06-30)> 	 Olympic 	 auto
<COUNT(medals_won WHERE countryOlympic.Olympic = London 2012-06-30)> 	 Olympic 	 auto
<COUNT(medals_won WHERE countryOlympic.Olympic = Beijing 2008-06-30)> 	 Olympic 	 auto
<MEAN(COUNT(medals_won.Medal))> 	 human.Medal 	 human&auto
<SUM(medaling_athletes.NUM_UNIQUE(athletes.Athelete))> 	 Athelete 	 human
<COUNT(medaling_athletes WHERE athlete.Gender = Women)> 	 Athelete 	 human
<COUNT(medaling_athletes WHERE athlete.Gender = Men)> 	 Athelete 	 human
<COUNT(medals_won.Medal WHERE sports.Sport = Aquatics)> 	 humanEvent 	 human
<COUNT(medals_won.Medal WHERE sports.Sport = Athletics)> 	 humanEvent 	 human
<COUNT(medals_won.Medal WHERE sports.Sport = Gymnastics)> 	 humanEvent 	 human
