Year,City,Sport,Athlete,Country,Gender,Event,Medal,Age,Height,Weight
1896,Athens,Cycling,"MASSON, Paul",FRA,Men,10KM,Gold,19,,
1896,Athens,Cycling,"FLAMENG, L¨¦on",FRA,Men,10KM,Silver,18,,
1896,Athens,Cycling,"SCHMAL, Adolf",AUT,Men,12-Hour Race,Gold,23,,
1896,Athens,Cycling,"KEEPING, Frank",GBR,Men,12-Hour Race,Silver,28,,
1896,Athens,Cycling,"SCHMAL, Adolf",AUT,Men,1KM Time Trial,Bronze,23,,
1896,Athens,Cycling,"MASSON, Paul",FRA,Men,1KM Time Trial,Gold,19,,
1896,Athens,Cycling,"NIKOLOPOULOS, Stamatios",GRE,Men,1KM Time Trial,Silver,,,
1896,Athens,Cycling,"FLAMENG, L¨¦on",FRA,Men,Sprint Indivual,Bronze,18,,
1896,Athens,Cycling,"MASSON, Paul",FRA,Men,Sprint Indivual,Gold,19,,
1896,Athens,Cycling,"NIKOLOPOULOS, Stamatios",GRE,Men,Sprint Indivual,Silver,,,
1896,Athens,Fencing,"PIERRAKOS-MAVROMICHALIS, Perikles",GRE,Men,Foil Individual,Bronze,,,
1896,Athens,Fencing,"GRAVELOTTE, Eug¨¨ne-Henri",FRA,Men,Foil Individual,Gold,20,,
1896,Athens,Fencing,"CALLOT, Henri",FRA,Men,Foil Individual,Silver,20,,
1896,Athens,Fencing,"PYRGOS, Leonidas",GRE,Men,"Foil, Masters",Gold,,,
1896,Athens,Fencing,"PERRONNET, Maurice",FRA,Men,"Foil, Masters",Silver,18,,
1896,Athens,Fencing,"NIELSEN, Holger",DEN,Men,Sabre Individual,Bronze,29,,
1896,Athens,Fencing,"GEORGIADIS, Ioannis",GRE,Men,Sabre Individual,Gold,20,,
1896,Athens,Fencing,"KARAKALOS, Telemachos",GRE,Men,Sabre Individual,Silver,,,
1896,Athens,Gymnastics,"WEING?RTNER, Hermann",GER,Men,Horizontal Bar,Gold,31,,
1896,Athens,Gymnastics,"FLATOW, Alfred",GER,Men,Horizontal Bar,Silver,26,,
1896,Athens,Gymnastics,"FLATOW, Alfred",GER,Men,Parallel Bars,Gold,26,,
1896,Athens,Gymnastics,"ZUTTER, Louis",SUI,Men,Parallel Bars,Silver,30,,
1896,Athens,Gymnastics,"ZUTTER, Louis",SUI,Men,Pommel Horse,Gold,30,,
1896,Athens,Gymnastics,"WEING?RTNER, Hermann",GER,Men,Pommel Horse,Silver,31,,
1896,Athens,Gymnastics,"PERSAKIS, Petros",GRE,Men,Rings,Bronze,,,
1896,Athens,Gymnastics,"MITROPOULOS, Ioannis",GRE,Men,Rings,Gold,,,
1896,Athens,Gymnastics,"WEING?RTNER, Hermann",GER,Men,Rings,Silver,31,,
1896,Athens,Gymnastics,"HOFMANN, Fritz",GER,Men,Rope Climbing,Bronze,24,167,56
1896,Athens,Gymnastics,"ANDRIAKOPOULOS, Nicolaos",GRE,Men,Rope Climbing,Gold,,,
1896,Athens,Gymnastics,"XENAKIS, Thomasios",GRE,Men,Rope Climbing,Silver,21,,
1896,Athens,Gymnastics,"B?CKER, Konrad",GER,Men,"Team, Horizontal Bar",Gold,25,,
1896,Athens,Gymnastics,"FLATOW, Alfred",GER,Men,"Team, Horizontal Bar",Gold,26,,
1896,Athens,Gymnastics,"FLATOW, Gustav Felix",GER,Men,"Team, Horizontal Bar",Gold,21,,
1896,Athens,Gymnastics,"HILMAR, Georg",GER,Men,"Team, Horizontal Bar",Gold,19,,
1896,Athens,Gymnastics,"HOFMANN, Fritz",GER,Men,"Team, Horizontal Bar",Gold,26,159,70
1896,Athens,Gymnastics,"MANTEUFFEL, Fritz",GER,Men,"Team, Horizontal Bar",Gold,21,,62
1896,Athens,Gymnastics,"NEUKIRCH, Karl",GER,Men,"Team, Horizontal Bar",Gold,31,,
1896,Athens,Gymnastics,"R?STEL, Richard",GER,Men,"Team, Horizontal Bar",Gold,,,
1896,Athens,Gymnastics,"SCHUFT, Gustav",GER,Men,"Team, Horizontal Bar",Gold,19,,
1896,Athens,Gymnastics,"SCHUMANN, Carl",GER,Men,"Team, Horizontal Bar",Gold,26,159,70
1896,Athens,Gymnastics,"WEING?RTNER, Hermann",GER,Men,"Team, Horizontal Bar",Gold,31,,
1896,Athens,Gymnastics,"CHRYSAPHIS, Ioannis",GRE,Men,"Team, Parallel Bars",Bronze,10,,
1896,Athens,Gymnastics,"KARVELAS, Phillippos",GRE,Men,"Team, Parallel Bars",Bronze,,,
1896,Athens,Gymnastics,"LOUNDRAS, Dimitrios",GRE,Men,"Team, Parallel Bars",Bronze,10,,
1896,Athens,Gymnastics,"MITROPOULOS, Ioannis",GRE,Men,"Team, Parallel Bars",Bronze,,,
1896,Athens,Gymnastics,"B?CKER, Konrad",GER,Men,"Team, Parallel Bars",Gold,25,,
1896,Athens,Gymnastics,"FLATOW, Alfred",GER,Men,"Team, Parallel Bars",Gold,26,,
1896,Athens,Gymnastics,"FLATOW, Gustav Felix",GER,Men,"Team, Parallel Bars",Gold,21,,
1896,Athens,Gymnastics,"HILMAR, Georg",GER,Men,"Team, Parallel Bars",Gold,19,,
1896,Athens,Gymnastics,"HOFMANN, Fritz",GER,Men,"Team, Parallel Bars",Gold,26,159,70
1896,Athens,Gymnastics,"MANTEUFFEL, Fritz",GER,Men,"Team, Parallel Bars",Gold,21,,62
1896,Athens,Gymnastics,"NEUKIRCH, Karl",GER,Men,"Team, Parallel Bars",Gold,31,,
1896,Athens,Gymnastics,"R?STEL, Richard",GER,Men,"Team, Parallel Bars",Gold,,,
1896,Athens,Gymnastics,"SCHUFT, Gustav",GER,Men,"Team, Parallel Bars",Gold,19,,
1896,Athens,Gymnastics,"SCHUMANN, Carl",GER,Men,"Team, Parallel Bars",Gold,26,159,70
1896,Athens,Gymnastics,"WEING?RTNER, Hermann",GER,Men,"Team, Parallel Bars",Gold,31,,
1896,Athens,Gymnastics,"ANDRIAKOPOULOS, Nicolaos",GRE,Men,"Team, Parallel Bars",Silver,,,
1896,Athens,Gymnastics,"ATHANASOPOULOS, Spyros",GRE,Men,"Team, Parallel Bars",Silver,,,
1896,Athens,Gymnastics,"PERSAKIS, Petros",GRE,Men,"Team, Parallel Bars",Silver,17,,
1896,Athens,Gymnastics,"XENAKIS, Thomasios",GRE,Men,"Team, Parallel Bars",Silver,21,,
1896,Athens,Gymnastics,"WEING?RTNER, Hermann",GER,Men,Vault,Bronze,31,,
1896,Athens,Gymnastics,"SCHUMANN, Carl",GER,Men,Vault,Gold,26,159,70
1896,Athens,Gymnastics,"ZUTTER, Louis",SUI,Men,Vault,Silver,30,,
1896,Athens,Shooting,"MORAKIS, Nikolaos",GRE,Men,25M Army Pistol,Bronze,,,
1896,Athens,Shooting,"PAINE, John",USA,Men,25M Army Pistol,Gold,25,,
1896,Athens,Shooting,"PAINE, Sumner",USA,Men,25M Army Pistol,Silver,27,,
1896,Athens,Shooting,"NIELSEN, Holger",DEN,Men,25M Rapid Fire Pistol (60 Shots),Bronze,29,,
1896,Athens,Shooting,"PHRANGOUDIS, Joannis",GRE,Men,25M Rapid Fire Pistol (60 Shots),Gold,,,
1896,Athens,Shooting,"ORPHANIDIS, Georgios",GRE,Men,25M Rapid Fire Pistol (60 Shots),Silver,,,
1896,Athens,Shooting,"PHRANGOUDIS, Joannis",GRE,Men,50M Pistol (60 Shots),Bronze,,,
1896,Athens,Shooting,"PAINE, Sumner",USA,Men,50M Pistol (60 Shots),Gold,27,,
1896,Athens,Shooting,"NIELSEN, Holger",DEN,Men,50M Pistol (60 Shots),Silver,29,,
1896,Athens,Shooting,"TRIKUPIS, Nicolaos",GRE,Men,"Army Rifle, 200M",Bronze,,,
1896,Athens,Shooting,"KARASEVDAS, Pantelis",GRE,Men,"Army Rifle, 200M",Gold,,,
1896,Athens,Shooting,"PAVLIDIS, Pavlos",GRE,Men,"Army Rifle, 200M",Silver,,,
1896,Athens,Shooting,"JENSEN, Viggo",DEN,Men,"Army Rifle, 300M",Bronze,21,,
1896,Athens,Shooting,"ORPHANIDIS, Georgios",GRE,Men,"Army Rifle, 300M",Gold,,,
1896,Athens,Shooting,"PHRANGOUDIS, Joannis",GRE,Men,"Army Rifle, 300M",Silver,,,
1896,Athens,Tennis,"FLACK, Edwin",ZZX,Men,Doubles,Bronze,,,
1896,Athens,Tennis,"ROBERTSON, George Stuart",ZZX,Men,Doubles,Bronze,,,
1896,Athens,Tennis,"BOLAND, John",ZZX,Men,Doubles,Gold,,,
1896,Athens,Tennis,"TRAUN, Friedrich",ZZX,Men,Doubles,Gold,,,
1896,Athens,Tennis,"KASDAGLIS, Dionysios",ZZX,Men,Doubles,Silver,,,
1896,Athens,Tennis,"PETROKOKKINOS, Demetrios",ZZX,Men,Doubles,Silver,,,
1896,Athens,Tennis,"PASPATIS, Konstantinos",GRE,Men,Singles,Bronze,17,,
1896,Athens,Tennis,"TAPAVICZA, Momcsillo",HUN,Men,Singles,Bronze,23,,
1896,Athens,Tennis,"BOLAND, John",GBR,Men,Singles,Gold,25,,
1896,Athens,Tennis,"KASDAGLIS, Dionysios",GRE,Men,Singles,Silver,23,,
1896,Athens,Weightlifting,"NIKOLOPOULOS, Alexandros",GRE,Men,Heavyweight - One Hand Lift,Bronze,,,
1896,Athens,Weightlifting,"ELLIOTT, Launceston",GBR,Men,Heavyweight - One Hand Lift,Gold,21,188,102
1896,Athens,Weightlifting,"JENSEN, Viggo",DEN,Men,Heavyweight - One Hand Lift,Silver,21,,
1896,Athens,Weightlifting,"VERSIS, Sotirios",GRE,Men,Heavyweight - Two Hand Lift,Bronze,,,
1896,Athens,Weightlifting,"JENSEN, Viggo",DEN,Men,Heavyweight - Two Hand Lift,Gold,21,,
1896,Athens,Weightlifting,"ELLIOTT, Launceston",GBR,Men,Heavyweight - Two Hand Lift,Silver,21,188,102
1896,Athens,Wrestling,"CHRISTOPOULOS, Stephanos",GRE,Men,Open Event,Bronze,,,
1896,Athens,Wrestling,"SCHUMANN, Carl",GER,Men,Open Event,Gold,26,159,70
1896,Athens,Wrestling,"TSITAS, Georgios",GRE,Men,Open Event,Silver,,,
1900,Paris,Aquatics,"HALMAY, Zoltan",HUN,Men,1500M Freestyle,Bronze,18,187,83
1900,Paris,Aquatics,"JARVIS, John Arthur",GBR,Men,1500M Freestyle,Gold,28,,
1900,Paris,Aquatics,"WAHLE, Otto",AUT,Men,1500M Freestyle,Silver,20,171,
1900,Paris,Aquatics,"DROST, Johannes",NED,Men,200M Backstroke,Bronze,19,,
1900,Paris,Aquatics,"HOPPENBERG, Ernst",GER,Men,200M Backstroke,Gold,21,,
1900,Paris,Aquatics,"RUBERL, Karl",AUT,Men,200M Backstroke,Silver,18,182,
1900,Paris,Aquatics,"RUBERL, Karl",AUT,Men,200M Freestyle,Bronze,18,182,
1900,Paris,Aquatics,"LANE, Frederick C.V.",AUS,Men,200M Freestyle,Gold,20,,
1900,Paris,Aquatics,"HALMAY, Zoltan",HUN,Men,200M Freestyle,Silver,18,187,83
1900,Paris,Aquatics,"KEMP, Peter",GBR,Men,200M Obstacle Event,Bronze,,,
1900,Paris,Aquatics,"LANE, Frederick C.V.",AUS,Men,200M Obstacle Event,Gold,20,,
1900,Paris,Aquatics,"WAHLE, Otto",AUT,Men,200M Obstacle Event,Silver,20,171,
1900,Paris,Aquatics,HOUBEN,FRA,Men,200M Team Swimming,Bronze,,,
1900,Paris,Aquatics,"LEUILLIEUX, Jean",FRA,Men,200M Team Swimming,Bronze,20,,
1900,Paris,Aquatics,"MARTIN, Louis",FRA,Men,200M Team Swimming,Bronze,,,
1900,Paris,Aquatics,"MERCHEZ, D¨¦sir¨¦",FRA,Men,200M Team Swimming,Bronze,17,,
1900,Paris,Aquatics,TARTARA,FRA,Men,200M Team Swimming,Bronze,18,,
1900,Paris,Aquatics,"FREY, Julius",GER,Men,200M Team Swimming,Gold,44,,
1900,Paris,Aquatics,"HAINLE, Max",GER,Men,200M Team Swimming,Gold,18,,
1900,Paris,Aquatics,"HOPPENBERG, Ernst",GER,Men,200M Team Swimming,Gold,21,,
1900,Paris,Aquatics,"SCH?NE, Max",GER,Men,200M Team Swimming,Gold,44,,
1900,Paris,Aquatics,"VON PETERSDORFF, Herbert",GER,Men,200M Team Swimming,Gold,,,
1900,Paris,Aquatics,BERTRAND,FRA,Men,200M Team Swimming,Silver,,,
1900,Paris,Aquatics,CADET,FRA,Men,200M Team Swimming,Silver,21,,
1900,Paris,Aquatics,"HOCHEPIED, Maurice",FRA,Men,200M Team Swimming,Silver,18,,
1900,Paris,Aquatics,"HOCHEPIED, Victor",FRA,Men,200M Team Swimming,Silver,16,,
1900,Paris,Aquatics,VERBECKE,FRA,Men,200M Team Swimming,Silver,20,,
1900,Paris,Aquatics,"MARTIN, Louis",FRA,Men,4000M Freestyle,Bronze,,,
1900,Paris,Aquatics,"JARVIS, John Arthur",GBR,Men,4000M Freestyle,Gold,28,,
1900,Paris,Aquatics,"HALMAY, Zoltan",HUN,Men,4000M Freestyle,Silver,18,187,83
1900,Paris,Aquatics,"LYKKEBERG, Peder",DEN,Men,Underwater Swimming,Bronze,22,,
1900,Paris,Aquatics,"DE VENDEVILLE, Charles",FRA,Men,Underwater Swimming,Gold,18,,
1900,Paris,Aquatics,"SIX, Andr¨¦",FRA,Men,Underwater Swimming,Silver,20,,
1900,Paris,Aquatics,"BURGESS, Thomas",FRA,Men,Water Polo,Bronze,,,
1900,Paris,Aquatics,COULON,FRA,Men,Water Polo,Bronze,,,
1900,Paris,Aquatics,"DECUYPER, Alphonse",FRA,Men,Water Polo,Bronze,,,
1900,Paris,Aquatics,DEVENOT,FRA,Men,Water Polo,Bronze,23,,
1900,Paris,Aquatics,FARDELLE,FRA,Men,Water Polo,Bronze,,,
1900,Paris,Aquatics,FAVIER,FRA,Men,Water Polo,Bronze,,,
1900,Paris,Aquatics,"LAUFRAY, Louis",FRA,Men,Water Polo,Bronze,18,,
1900,Paris,Aquatics,LERICHE,FRA,Men,Water Polo,Bronze,17,,
1900,Paris,Aquatics,"MARTIN, Louis",FRA,Men,Water Polo,Bronze,,,
1900,Paris,Aquatics,"MERCHEZ, D¨¦sir¨¦",FRA,Men,Water Polo,Bronze,17,,
1900,Paris,Aquatics,"PESLIER, Henri",FRA,Men,Water Polo,Bronze,20,,
1900,Paris,Aquatics,PESLOY,FRA,Men,Water Polo,Bronze,,,
1900,Paris,Aquatics,"TREFFEL, Charles",FRA,Men,Water Polo,Bronze,,,
1900,Paris,Aquatics,"VASSEUR, Paul",FRA,Men,Water Polo,Bronze,15,,
1900,Paris,Aquatics,"COE, Thomas",GBR,Men,Water Polo,Gold,,,
1900,Paris,Aquatics,"DERBYSHIRE, John Henry",GBR,Men,Water Polo,Gold,28,,
1900,Paris,Aquatics,"KEMP, Peter",GBR,Men,Water Polo,Gold,,,
1900,Paris,Aquatics,"LISTER, William",GBR,Men,Water Polo,Gold,40,,
1900,Paris,Aquatics,"ROBERTSON, Arthur",GBR,Men,Water Polo,Gold,28,,
1900,Paris,Aquatics,"ROBINSON, Eric",GBR,Men,Water Polo,Gold,23,,
1900,Paris,Aquatics,"WILKINSON, George",GBR,Men,Water Polo,Gold,40,,
1900,Paris,Aquatics,"COHEN, Henri",BEL,Men,Water Polo,Silver,,,
1900,Paris,Aquatics,"DE BACKER, Jean",BEL,Men,Water Polo,Silver,,,
1900,Paris,Aquatics,"DE BEHR, Victor",BEL,Men,Water Polo,Silver,,,
1900,Paris,Aquatics,"FEYAERTS, Fernand",BEL,Men,Water Polo,Silver,,,
1900,Paris,Aquatics,"GREGOIRE, Oscar",BEL,Men,Water Polo,Silver,23,,
1900,Paris,Aquatics,"MICHANT, Albert",BEL,Men,Water Polo,Silver,,,
1900,Paris,Aquatics,"SONNEMANS, Victor",BEL,Men,Water Polo,Silver,25,,
1900,Paris,Archery,"PETIT, Charles Fr¨¦d¨¦ric",FRA,Men,"Au Chapelet, 33M",Bronze,43,,
1900,Paris,Archery,"VAN INNIS, Hubert",BEL,Men,"Au Chapelet, 33M",Gold,34,,
1900,Paris,Archery,"THIBAUD, Victor",FRA,Men,"Au Chapelet, 33M",Silver,33,,
1900,Paris,Archery,"MERCIER, Emile",FRA,Men,"Au Chapelet, 50M",Bronze,,,
1900,Paris,Archery,"MOUGIN, Eug¨¨ne",FRA,Men,"Au Chapelet, 50M",Gold,47,,
1900,Paris,Archery,"HELLE, Henri",FRA,Men,"Au Chapelet, 50M",Silver,26,,
1900,Paris,Archery,"PETIT, Charles Fr¨¦d¨¦ric",FRA,Men,"Au Cordon Dor¨¦, 33M",Bronze,43,,
1900,Paris,Archery,"VAN INNIS, Hubert",BEL,Men,"Au Cordon Dor¨¦, 33M",Gold,34,,
1900,Paris,Archery,"THIBAUD, Victor",FRA,Men,"Au Cordon Dor¨¦, 33M",Silver,33,,
1900,Paris,Archery,"FISSEUX, Emile",FRA,Men,"Au Cordon Dor¨¦, 50M",Bronze,32,,
1900,Paris,Archery,"HEROUIN, Henri",FRA,Men,"Au Cordon Dor¨¦, 50M",Gold,24,,
1900,Paris,Archery,"VAN INNIS, Hubert",BEL,Men,"Au Cordon Dor¨¦, 50M",Silver,34,,
1900,Paris,Archery,"FOULON, Emmanuel",BEL,Men,Sur La Perche ¨¤ La Herse,Gold,28,,
1900,Paris,Archery,"DRUART, Jr.",BEL,Men,Sur La Perche ¨¤ La Herse,Silver,,,
1900,Paris,Archery,"SERRURIER, Auguste",FRA,Men,Sur La Perche ¨¤ La Herse,Silver,43,,
1900,Paris,Archery,"GLINEUX, Louis",BEL,Men,Sur La Perche ¨¤ La Pyramide,Bronze,50,,
1900,Paris,Archery,"GRUMIAUX, Emile",FRA,Men,Sur La Perche ¨¤ La Pyramide,Gold,38,,
1900,Paris,Archery,"SERRURIER, Auguste",FRA,Men,Sur La Perche ¨¤ La Pyramide,Silver,43,,
1900,Paris,Athletics,"ROWLEY, Stanley",AUS,Men,100M,Bronze,23,178,71
1900,Paris,Athletics,"JARVIS, Francis",USA,Men,100M,Gold,21,167,58
1900,Paris,Athletics,"TEWKSBURY, Walter B. John",USA,Men,100M,Silver,24,183,64
1900,Paris,Athletics,"MOLONEY, Frederick",USA,Men,110M Hurdles,Bronze,17,,
1900,Paris,Athletics,"KRAENZLEIN, Alvin",USA,Men,110M Hurdles,Gold,23,183,75
1900,Paris,Athletics,"MCLEAN, John",USA,Men,110M Hurdles,Silver,22,,
1900,Paris,Athletics,"BRAY, John",USA,Men,1500M,Bronze,24,,
1900,Paris,Athletics,"BENNETT, Charles",GBR,Men,1500M,Gold,29,,
1900,Paris,Athletics,"DELOGE, Henri",FRA,Men,1500M,Silver,25,,
1900,Paris,Athletics,"ROWLEY, Stanley",AUS,Men,200M,Bronze,23,178,71
1900,Paris,Athletics,"TEWKSBURY, Walter B. John",USA,Men,200M,Gold,24,183,64
1900,Paris,Athletics,"PRITCHARD, Norman",IND,Men,200M,Silver,24,,
1900,Paris,Athletics,"TEWKSBURY, Walter B. John",USA,Men,200M Hurdles,Bronze,24,183,64
1900,Paris,Athletics,"KRAENZLEIN, Alvin",USA,Men,200M Hurdles,Gold,23,183,75
1900,Paris,Athletics,"PRITCHARD, Norman",IND,Men,200M Hurdles,Silver,24,,
1900,Paris,Athletics,"CHASTANIE, Jacques",FRA,Men,3000M Steeplechase,Bronze,24,,
1900,Paris,Athletics,"ORTON, George",CAN,Men,3000M Steeplechase,Gold,27,169,65
1900,Paris,Athletics,"ROBINSON, Sidney",GBR,Men,3000M Steeplechase,Silver,23,,
1900,Paris,Athletics,"ROBINSON, Sidney",GBR,Men,4000M Steeplechase,Bronze,23,,
1900,Paris,Athletics,"RIMMER, John",GBR,Men,4000M Steeplechase,Gold,22,,
1900,Paris,Athletics,"BENNETT, Charles",GBR,Men,4000M Steeplechase,Silver,29,,
1900,Paris,Athletics,"SCHULTZ, Ernst",DEN,Men,400M,Bronze,20,,
1900,Paris,Athletics,"LONG, Maxwell W.Maxey",USA,Men,400M,Gold,21,182,75
1900,Paris,Athletics,"HOLLAND, William",USA,Men,400M,Silver,26,,
1900,Paris,Athletics,"ORTON, George",CAN,Men,400M Hurdles,Bronze,27,169,65
1900,Paris,Athletics,"TEWKSBURY, Walter B. John",USA,Men,400M Hurdles,Gold,24,183,64
1900,Paris,Athletics,"TAUZIN, Henri",FRA,Men,400M Hurdles,Silver,21,169,68
1900,Paris,Athletics,"BENNETT, Charles",ZZX,Men,5000M Team,Gold,,,
1900,Paris,Athletics,"RIMMER, John",ZZX,Men,5000M Team,Gold,,,
1900,Paris,Athletics,"ROBINSON, Sidney",ZZX,Men,5000M Team,Gold,,,
1900,Paris,Athletics,"ROWLEY, Stanley",ZZX,Men,5000M Team,Gold,,,
1900,Paris,Athletics,"TYSOE, Alfred",ZZX,Men,5000M Team,Gold,,,
1900,Paris,Athletics,"CASTANET, Andr¨¦",FRA,Men,5000M Team,Silver,,,
1900,Paris,Athletics,"CHAMPOUDRY, Michel",FRA,Men,5000M Team,Silver,20,,
1900,Paris,Athletics,"CHASTANIE, Jacques",FRA,Men,5000M Team,Silver,24,,
1900,Paris,Athletics,"DELOGE, Henri",FRA,Men,5000M Team,Silver,25,,
1900,Paris,Athletics,"RAGUENEAU, Gaston",FRA,Men,5000M Team,Silver,18,166,66
1900,Paris,Athletics,"ROWLEY, Stanley",AUS,Men,60M,Bronze,23,178,71
1900,Paris,Athletics,"KRAENZLEIN, Alvin",USA,Men,60M,Gold,23,183,75
1900,Paris,Athletics,"TEWKSBURY, Walter B. John",USA,Men,60M,Silver,24,183,64
1900,Paris,Athletics,"HALL, David",USA,Men,800M,Bronze,25,,
1900,Paris,Athletics,"TYSOE, Alfred",GBR,Men,800M,Gold,26,175,70
1900,Paris,Athletics,"CREGAN, John",USA,Men,800M,Silver,22,,
1900,Paris,Athletics,"SHELDON, Richard",USA,Men,Discus Throw,Bronze,21,,
1900,Paris,Athletics,"BAUER, Rudolf",HUN,Men,Discus Throw,Gold,21,,
1900,Paris,Athletics,"JANDA, Frantisek",BOH,Men,Discus Throw,Silver,22,,
1900,Paris,Athletics,"MCCRACKEN, Josiah",USA,Men,Hammer Throw,Bronze,26,,
1900,Paris,Athletics,"FLANAGAN, John Jesus",USA,Men,Hammer Throw,Gold,32,178,95
1900,Paris,Athletics,"HARE, Thomas Truxton",USA,Men,Hammer Throw,Silver,21,185,90
1900,Paris,Athletics,"G?NCZY, Lajos",HUN,Men,High Jump,Bronze,19,,
1900,Paris,Athletics,"BAXTER, Irving",USA,Men,High Jump,Gold,24,,
1900,Paris,Athletics,"LEAHY, Patrick Joseph",GBR,Men,High Jump,Silver,22,,
